userName,score,at,content
yogas keun,1,2025-10-22 06:54:41,kenapa susah banget live chat padahal mau ganti nomer hp
Alfan Ahmad,1,2025-10-22 06:54:09,"aplikasi gak gua, bikin npwp susah"
Aisyah Al Atsariyyah,1,2025-10-22 05:02:06,"entahlah dari sekian banyak ulasan buruk yang di berikan pengguna kenapa tidak ada perbaikan,padahal ini adalah aplikasi resmi yang di awasi pemerintah. dari yang mau buat npwp ga bisa karna sulit,aplikasinya juga error..harusnya dapat ulasan selerti ini menjadi PR bagi mereka yg bekerjs di bidangnya.bagaimana aplikasi di buat namun tujuannya justru tidak tercapai? bahkan mau kasih ulasan saja 'server error' it's amazing for me"
Litani Harsa,1,2025-10-22 02:18:39,ga beres aplikasinya
arda fika,1,2025-10-21 19:47:15,Mau buat npwp aja sulit banget! padahal anggaran untuk proyek core tax aja Rp. 467 m ditambah suntikan dana dari kementrian keuangan Rp. 549m . aplikasi dan web sama jeleknya nggak sesuai anggaran yang gede.
HW properti,5,2025-10-21 09:45:23,mantap
Ogy Prayoga,1,2025-10-21 09:25:41,kaga jelas
AHA Channel,1,2025-10-21 08:39:09,bikin lewat web susah. aplikasi juga tidak membantu. kenapa mau bayar pajak aja dipersulit diadministrasi sih
Dedy IZ Kurniawan,1,2025-10-21 04:46:35,ga bisa login kocak aplikasi pemerintah ga ada benernya
MUHAMMAD RIZKI,1,2025-10-21 04:28:47,"mau di situs mau di aplikasi nggk guna babi habisin pulsa buat verifikasi nggk jadi"" mpwp"
rakhma kamila,1,2025-10-21 02:29:35,"mau buat NPWP susah bet ampunnn, lelet lemot error hadeh"
Lili San,1,2025-10-21 00:12:33,jadi segini doang anggaran 5 triliyun..? ampas banget. kasih anak it d kampus 100jt udah lebih bagus dari ini
Tttt Yyyy,1,2025-10-20 14:15:08,cortex emang asu mau bikin NPWP susahnya minta ampun
Ainul Gusti Agung Febrianto,5,2025-10-20 13:23:53,aplikasi yang bagus
Ari Muharam,1,2025-10-20 05:01:54,"hati2 sekarang banyak oknum yang memanfaatkan bug di aplikasi m-pajak ini, pokoknya kalau ada yang meminta screen sharing / berbagi layar jangan mau ya, karena itu adalah modus penipuan yang baru, stay safe gaeesss"
